44 Channels and 30 Optodes

 # , x, y, z
CH01 : 33   1  67
CH02 : 49  -3  59
CH03 : 62 -11  46
CH04 : 70 -19  24
CH05 : 21  -8  75
CH06 : 42 -14  69
CH07 : 56 -19  58
CH08 : 68 -26  42
CH09 : 72 -35  14
CH10 : 32 -23  74
CH11 : 50 -28  65
CH12 : 63 -35  52
CH13 : 68 -41  35
CH14 : 22 -32  77
CH15 : 40 -34  71
CH16 : 59 -40  56
CH17 : 64 -47  43
CH18 : 64 -59  20
CH19 : 27 -46  74
CH20 : 43 -47  65
CH21 : 57 -54  52
CH22 : 61 -62  31
CH23 : -63  -2  33
CH24 : -45   4  58
CH25 : -23   5  71
CH26 : -8  -2  75
CH27 : -68 -19  20
CH28 : -58 -12  50
CH29 : -38  -9  67
CH30 : -16  -9  77
CH31 : 12 -11  77
CH32 : -67 -36  37
CH33 : -52 -27  62
CH34 : -31 -22  74
CH35 : -11 -22  79
CH36 : -66 -54  18
CH37 : -60 -47  48
CH38 : -39 -40  69
CH39 : -17 -39  79
CH40 : 8 -37  80
CH41 : -58 -65  35
CH42 : -49 -58  56
CH43 : -28 -52  73
CH44 : -8 -45  78
T01 : -35  60 -15
T02 : -35  60 -15
T03 : -35  60 -15
T04 : -35  60 -15
T05 : -35  60 -15
T06 : -35  60 -15
T07 : -35  60 -15
T08 : -35  60 -15
T09 : -35  60 -15
T10 : -35  60 -15
T11 : -35  60 -15
T12 : -35  60 -15
T13 : -35  60 -15
T14 : -35  60 -15
T15 : -35  60 -15
T16 : -35  60 -15
R01 : -35  60 -15
R02 : -35  60 -15
R03 : -35  60 -15
R04 : -35  60 -15
R05 : -35  60 -15
R06 : -35  60 -15
R07 : -35  60 -15
R08 : -35  60 -15
R09 : -35  60 -15
R10 : -35  60 -15
R11 : -35  60 -15
R12 : -35  60 -15
R13 : -35  60 -15
R14 : -35  60 -15
